distance_to_pin,lie,strokes_to_hole_out
174.80555555555554,Fairway Bunker,4
41.77777777777778,Fairway,3
6.638888888888889,Green,2
0.3055555555555556,Green,1
459.0,Tee Box,3
166.02777777777777,Fairway,2
3.9444444444444446,Green,1
222.0,Tee Box,4
13.61111111111111,Green,3
1.3333333333333333,Green,2
0.4722222222222222,Green,1
429.0,Tee Box,4
128.75,Primary Rough,3
8.88888888888889,Green,2
0.8055555555555556,Green,1
217.0,Tee Box,3
7.805555555555555,Green,2
0.3333333333333333,Green,1
374.0,Tee Box,4
114.38888888888889,Fairway Bunker,3
6.194444444444445,Green,2
0.4722222222222222,Green,1
438.0,Tee Box,4
149.47222222222223,Primary Rough,3
7.472222222222222,Green,2
0.2777777777777778,Green,1
516.0,Tee Box,4
191.30555555555554,Fairway,3
19.63888888888889,Primary Rough,2
1.3888888888888888,Green,1
215.0,Tee Box,3
9.472222222222221,Green,2
1.0277777777777777,Green,1
439.0,Tee Box,4
130.72222222222223,Fairway,3
5.194444444444445,Green,2
0.2222222222222222,Green,1
404.0,Tee Box,4
120.16666666666667,Fairway,3
5.527777777777778,Green,2
0.6111111111111112,Green,1
588.0,Tee Box,4
268.8611111111111,Fairway,3
13.555555555555555,Fairway,2
0.6666666666666666,Green,1
459.0,Tee Box,4
180.38888888888889,Fairway,3
15.63888888888889,Green Side Bunker,2
3.7222222222222223,Green,1
179.0,Tee Box,3
8.083333333333334,Green,2
2.9444444444444446,Green,1
401.0,Tee Box,3
123.33333333333333,Fairway,2
5.027777777777778,Green,1
468.0,Tee Box,4
182.80555555555554,Fairway,3
12.11111111111111,Fairway,2
0.8055555555555556,Green,1
452.0,Tee Box,4
130.13888888888889,Fairway,3
7.138888888888889,Green,2
0.7222222222222222,Green,1
529.0,Tee Box,5
246.58333333333334,Intermediate Rough,4
40.72222222222222,Primary Rough,3
7.638888888888889,Green,2
0.5555555555555556,Green,1
477.0,Tee Box,4
153.44444444444446,Primary Rough,3
77.83333333333333,Fairway,2
7.25,Green,1
459.0,Tee Box,4
130.25,Intermediate Rough,3
18.22222222222222,Fringe,2
0.6666666666666666,Green,1
222.0,Tee Box,2
23.333333333333332,Primary Rough,1
429.0,Tee Box,4
140.36111111111111,Intermediate Rough,3
13.36111111111111,Green,2
1.8888888888888888,Green,1
217.0,Tee Box,3
7.583333333333333,Green,2
0.25,Green,1
374.0,Tee Box,4
100.25,Fairway,3
10.36111111111111,Green,2
0.19444444444444445,Green,1
438.0,Tee Box,4
145.58333333333334,Primary Rough,3
7.444444444444445,Green,2
0.5,Green,1
516.0,Tee Box,4
214.36111111111111,Fairway,3
14.166666666666666,Primary Rough,2
1.1944444444444444,Green,1
439.0,Tee Box,4
145.66666666666666,Fairway,3
5.611111111111111,Green,2
0.9722222222222222,Green,1
404.0,Tee Box,4
113.08333333333333,Fairway,3
9.916666666666666,Primary Rough,2
1.0,Green,1
588.0,Tee Box,4
305.44444444444446,Fairway,3
82.33333333333333,Fairway,2
2.4444444444444446,Green,1
179.0,Tee Box,4
13.833333333333334,Green Side Bunker,3
7.194444444444445,Green,2
1.1944444444444444,Green,1
401.0,Tee Box,3
137.22222222222223,Intermediate Rough,2
4.527777777777778,Green,1
468.0,Tee Box,5
199.91666666666666,Fairway,4
17.75,Green Side Bunker,3
5.361111111111111,Green,2
0.5277777777777778,Green,1
452.0,Tee Box,4
156.88888888888889,Primary Rough,3
10.75,Primary Rough,2
0.75,Green,1
529.0,Tee Box,4
258.25,Fairway,3
15.194444444444445,Green,2
1.1388888888888888,Green,1
477.0,Tee Box,3
163.88888888888889,Intermediate Rough,2
9.527777777777779,Green,1
459.0,Tee Box,4
191.13888888888889,Primary Rough,3
5.805555555555555,Green,2
0.05555555555555555,Green,1
222.0,Tee Box,3
14.166666666666666,Green,2
2.0555555555555554,Green,1
429.0,Tee Box,4
143.44444444444446,Primary Rough,3
7.916666666666667,Green,2
0.4166666666666667,Green,1
217.0,Tee Box,3
12.36111111111111,Fairway,2
1.25,Green,1
374.0,Tee Box,3
70.41666666666667,Fairway,2
1.8888888888888888,Green,1
438.0,Tee Box,4
134.13888888888889,Fairway,3
10.5,Green,2
0.4166666666666667,Green,1
516.0,Tee Box,4
197.19444444444446,Fairway,3
13.194444444444445,Fairway,2
0.8888888888888888,Green,1
215.0,Tee Box,4
19.47222222222222,Green,3
2.6666666666666665,Green,2
0.3055555555555556,Green,1
439.0,Tee Box,4
136.5,Fairway Bunker,3
4.722222222222222,Green,2
0.7222222222222222,Green,1
404.0,Tee Box,4
122.36111111111111,Primary Rough,3
73.38888888888889,Fairway,2
5.5,Green,1
588.0,Tee Box,4
278.80555555555554,Fairway,3
18.72222222222222,Green Side Bunker,2
1.25,Green,1
459.0,Tee Box,4
164.91666666666666,Fairway,3
14.416666666666666,Intermediate Rough,2
1.4166666666666667,Green,1
179.0,Tee Box,3
10.36111111111111,Green,2
0.5,Green,1
401.0,Tee Box,3
125.97222222222223,Fairway,2
2.2222222222222223,Green,1
468.0,Tee Box,4
187.05555555555554,Fairway,3
9.916666666666666,Green,2
0.027777777777777776,Green,1
452.0,Tee Box,4
176.02777777777777,Native Area,3
21.805555555555557,Primary Rough,2
2.861111111111111,Green,1
529.0,Tee Box,4
246.5,Fairway,3
25.86111111111111,Primary Rough,2
1.1388888888888888,Green,1
477.0,Tee Box,4
153.83333333333334,Primary Rough,3
12.722222222222221,Fringe,2
0.16666666666666666,Green,1
459.0,Tee Box,5
150.61111111111111,Fairway,4
10.416666666666666,Primary Rough,3
4.861111111111111,Green,2
1.0277777777777777,Green,1
222.0,Tee Box,3
27.75,Primary Rough,2
1.8888888888888888,Green,1
429.0,Tee Box,4
146.91666666666666,Fairway,3
6.416666666666667,Green,2
0.3888888888888889,Green,1
217.0,Tee Box,3
6.027777777777778,Green,2
0.5277777777777778,Green,1
374.0,Tee Box,3
128.75,Intermediate Rough,2
1.4722222222222223,Green,1
438.0,Tee Box,3
139.22222222222223,Fairway,2
3.9722222222222223,Green,1
516.0,Tee Box,4
208.86111111111111,Fairway,3
13.666666666666666,Green Side Bunker,2
0.9722222222222222,Green,1
215.0,Tee Box,3
11.166666666666666,Green,2
0.9166666666666666,Green,1
439.0,Tee Box,5
147.27777777777777,Primary Rough,4
17.22222222222222,Primary Rough,3
2.4444444444444446,Green,2
0.6111111111111112,Green,1
404.0,Tee Box,4
127.75,Fairway,3
6.694444444444445,Green,2
0.6944444444444444,Green,1
588.0,Tee Box,6
281.52777777777777,Intermediate Rough,5
75.36111111111111,Fairway,4
14.61111111111111,Primary Rough,3
4.527777777777778,Green,2
0.2222222222222222,Green,1
459.0,Tee Box,4
